"filename", "language", "CSS", "JSON", "PHP", "JavaScript", "XML", "JSON with Comments", "JavaScript JSX", "Markdown", "comment", "blank", "total"
"c:\laragon\www\formation-doctorat\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 0, 6, 4, 33
"c:\laragon\www\formation-doctorat\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 6, 4, 34
"c:\laragon\www\formation-doctorat\database\migrations\2023_12_02_100831_create_programs_table.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 0, 6, 5, 36
"c:\laragon\www\formation-doctorat\database\migrations\2023_12_08_155742_create_universities_table.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 6, 4, 32
"c:\laragon\www\formation-doctorat\database\migrations\2023_12_27_094912_create_fields_table.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 0, 6, 4, 31
"c:\laragon\www\formation-doctorat\database\migrations\2023_12_27_100232_create_program_universities_table.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 6, 4, 30
"c:\laragon\www\formation-doctorat\database\migrations\2024_01_04_103116_create_laboratories_table.php", "PHP", 0, 0, 18, 0, 0, 0, 0, 0, 6, 4, 28
"c:\laragon\www\formation-doctorat\database\migrations\2024_01_04_103146_create_research_groups_table.php", "PHP", 0, 0, 18, 0, 0, 0, 0, 0, 6, 4, 28
"c:\laragon\www\formation-doctorat\database\migrations\2024_01_04_103202_create_professors_table.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 6, 4, 32
"c:\laragon\www\formation-doctorat\database\migrations\2024_01_04_103218_create_candidates_table.php", "PHP", 0, 0, 30, 0, 0, 0, 0, 0, 6, 4, 40
"c:\laragon\www\formation-doctorat\database\migrations\2024_01_04_103226_create_thesis_proposals_table.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 6, 4, 32
"c:\laragon\www\formation-doctorat\database\migrations\2024_01_04_141253_create_field_program_university_table.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 6, 4, 30
"c:\laragon\www\formation-doctorat\database\migrations\2024_01_11_110212_create_bac_details_table.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 0, 6, 4, 36
"c:\laragon\www\formation-doctorat\database\migrations\2024_01_24_153908_create_licence_details_table.php", "PHP", 0, 0, 28, 0, 0, 0, 0, 0, 6, 4, 38
